序号,地区,总交易额,占市场,股票交易额,基金交易额,债券交易额
1,上海,6599167582529.5,17.144,4043328640553.02,124853814623.53,2430985127352.95
2,深圳,4783964416772.87,12.428,3003822741726.11,119949788473.23,1659668736573.53
3,北京,3631713590500.71,9.435,2225151545235.03,86157591904.48,1319881303361.21
4,浙江,3237222215604.72,8.41,2691930437447.5,39069038915.89,506222739241.33
5,江苏,3025582455868.33,7.86,2158992707727.6,94528752122.43,772060996018.3
6,广州,1619480253880.96,4.207,947694962985.39,45331780230.84,626072030664.74
7,广东,1536115212171.25,3.991,1177268671011.18,24266345399.12,334580195760.95
8,福建,1410869402122.74,3.665,1045201901024.11,20978769188.93,344688731909.7
9,西藏,1240056340791.91,3.222,1011404236309.37,23054056970.06,205598047512.48
10,境外地区,1232003259879.2,3.201,1232003259879.2,0.0,0.0
11,湖北,1228976637910.71,3.193,747695392332.76,10387453864.2,470893791713.76
12,四川,1187553636185.52,3.085,837319403812.06,13781574986.31,336452657387.15
13,山东,1183434349577.64,3.074,843097554973.89,20158809899.14,320177984704.62
14,湖南,804352659873.73,2.09,526856323136.98,40558317004.34,236938019732.4
15,安徽,620698268736.62,1.613,418820093554.49,6798453728.97,195079721453.16
16,江西,597280078368.52,1.552,398546155393.97,13288962604.26,185444960370.3
17,河南,558349310378.67,1.451,447041866415.17,6132580814.19,105174863149.31
18,陕西,521988415620.38,1.356,331264603497.73,4391643456.63,186332168666.02
19,重庆,490023462418.54,1.273,333599210443.35,5959655727.12,150464596248.07
20,辽宁,481918181034.85,1.252,375320939761.65,5095175222.48,101502066050.71
21,河北,379213564644.24,0.985,272019551514.46,6335564336.56,100858448793.21
22,天津,307272742232.37,0.798,213272592021.47,3716295782.66,90283854428.25
23,山西,273973896221.92,0.712,189126562965.48,2959210940.03,81888122316.41
24,广西,250602609500.39,0.651,195277891484.93,2376218150.42,52948499865.05
25,黑龙江,211697666465.95,0.55,152111900589.94,2056485831.57,57529280044.45
26,云南,189174751253.93,0.491,136257581994.29,1983666622.9,50933502636.74
27,吉林,188626217411.97,0.49,138044925156.58,2868442232.55,47712850022.84
28,贵州,172012477765.41,0.447,104829540184.98,2405148270.55,64777789309.88
29,新疆,134587378260.33,0.35,106715419843.17,935953502.04,26936004915.12
30,内蒙古,109508778219.52,0.284,70879895861.04,874398368.01,37754483990.47
31,甘肃,105526991362.83,0.274,81656474100.78,855051432.3,23015465829.75
32,海南,93002383262.88,0.242,68997128619.21,485815726.23,23519438917.44
33,宁夏,68216347072.73,0.177,57284231076.0,761363073.53,10170752923.21
34,青海,17839473919.42,0.046,15184967844.38,118182288.53,2536323786.51
